epoch;train_loss;train_acc;val_loss;val_acc
179;0.5326879620552063;tensor(0.8300, dtype=torch.float64);0.629744827747345;tensor(0.6364, dtype=torch.float64)
180;0.527308464050293;tensor(0.8450, dtype=torch.float64);0.6254921555519104;tensor(0.7273, dtype=torch.float64)
181;0.5185580253601074;tensor(0.8650, dtype=torch.float64);0.6237067580223083;tensor(0.6818, dtype=torch.float64)
182;0.5295433402061462;tensor(0.8650, dtype=torch.float64);0.6232232451438904;tensor(0.6818, dtype=torch.float64)
183;0.5213510990142822;tensor(0.8850, dtype=torch.float64);0.6253560185432434;tensor(0.7727, dtype=torch.float64)
184;0.523384690284729;tensor(0.8500, dtype=torch.float64);0.6281337141990662;tensor(0.6364, dtype=torch.float64)
185;0.5241709351539612;tensor(0.8500, dtype=torch.float64);0.6270656585693359;tensor(0.6364, dtype=torch.float64)
186;0.5304905772209167;tensor(0.8650, dtype=torch.float64);0.6238966584205627;tensor(0.7727, dtype=torch.float64)
187;0.5100381970405579;tensor(0.8500, dtype=torch.float64);0.6208818554878235;tensor(0.6818, dtype=torch.float64)
188;0.5132091641426086;tensor(0.8800, dtype=torch.float64);0.6207164525985718;tensor(0.7273, dtype=torch.float64)
189;0.5234674215316772;tensor(0.8450, dtype=torch.float64);0.623902440071106;tensor(0.6818, dtype=torch.float64)
190;0.5314872860908508;tensor(0.8200, dtype=torch.float64);0.6265659332275391;tensor(0.6364, dtype=torch.float64)
191;0.5076929330825806;tensor(0.8450, dtype=torch.float64);0.6247861981391907;tensor(0.6364, dtype=torch.float64)
192;0.5284841060638428;tensor(0.8400, dtype=torch.float64);0.6201258897781372;tensor(0.7727, dtype=torch.float64)
193;0.5216033458709717;tensor(0.8400, dtype=torch.float64);0.6174058318138123;tensor(0.6818, dtype=torch.float64)
194;0.5176929235458374;tensor(0.8650, dtype=torch.float64);0.617643415927887;tensor(0.6818, dtype=torch.float64)
195;0.5094611644744873;tensor(0.8550, dtype=torch.float64);0.6197291016578674;tensor(0.7727, dtype=torch.float64)
196;0.5166867971420288;tensor(0.8400, dtype=torch.float64);0.6211605668067932;tensor(0.7273, dtype=torch.float64)
197;0.514211893081665;tensor(0.8350, dtype=torch.float64);0.6202981472015381;tensor(0.7273, dtype=torch.float64)
198;0.5166447758674622;tensor(0.8600, dtype=torch.float64);0.6190900206565857;tensor(0.7727, dtype=torch.float64)
199;0.5103597044944763;tensor(0.8500, dtype=torch.float64);0.6171788573265076;tensor(0.7273, dtype=torch.float64)
